genre,style,country,mood,biography
Pop,Rock/Pop,"Los Angeles, USA",,"""Billie Eilish""  (born December 18, 2001) is an American singer and songwriter. Her debut single, ""Ocean Eyes"", went viral and has accumulated over 132 million streams on Spotify as of October 2018. Her debut EP Don't Smile at Me was released in August 2017. Following the EP's success, Apple Music named Eilish as its newest Up Next artist a month later in September 2017.
California singer and dancer Billie Eilish debuted her ethereal indie electro-pop sound when she was barely a teenager. Born and raised in Los Angeles, Eilish grew up in a household of actors and musicians, and was homeschooled along with her brother Finneas O'Connell (the Slightlys). At the age of eight, she joined the Los Angeles Children's Choir, developing the soulful vocals that would later appear on her early singles."
Rock,Rock/Pop,"London, England",Relaxed,"Fleetwood Mac are a British-American rock band formed in 1967 in London.
The only original member present in the band is its eponymous drummer, Mick Fleetwood. Despite band founder Peter Green naming the group by combining the surnames of two of his former bandmates (Fleetwood, McVie) from John Mayall's Bluesbreakers, bassist John McVie played neither on their first single nor at their first concerts. The keyboardist, Christine McVie, who joined the band in 1970 while married to John McVie, appeared on all but two albums, either as a member or as a session musician. She also supplied the artwork for the album Kiln House.
The two most successful periods for the band were during the late 1960s British blues boom, when they were led by guitarist Peter Green and achieved a UK number one with ""Albatross""; and from 1975 to 1987, with more pop-orientation, featuring Christine McVie, Lindsey Buckingham and Stevie Nicks. Fleetwood Mac's second album after the incorporation of Nicks and Buckingham, 1977's Rumours, produced four U.S. Top 10 singles (including Nicks' song ""Dreams"", which was the band's first and only U.S. number one) and remained at No.1 on the American albums chart for 31 weeks, as well as reaching the top spot in various countries around the world. To date the album has sold over 40 million copies worldwide, making it the eighth highest selling album of all time.
The band enjoyed more modest success in the intervening period between 1971 and 1974, with the line-up including Bob Welch, and also during the 1990s which saw more personnel changes before the return of Nicks and Buckingham in 1997, and more recently, the departure of Christine McVie."
,,,,"Formed in Los Angeles in late 2016, The Marías are a smooth rendezvous of jazz percussion, hypnotic guitar riffs, smoke- velvet vocals and nostalgic horn solos, there’s something undeniably sensual in the group’s dreamlike fusion of jazz, psychedelia, funk and lounge.

Vocals/guitar – Maria
Drums/vox/producer – Josh
Lead guitar/vox – Jesse Perlman
Bass – Carter Lee
Keys – Edward James . "
Alternative Rock,Rock/Pop,"Abingdon, England",Sad,"Radiohead are an English rock band from Abingdon, Oxfordshire, formed in 1985. The band consists of Thom Yorke (lead vocals, guitar, piano), Jonny Greenwood (lead guitar, keyboards, other instruments), Colin Greenwood (bass), Phil Selway (drums, percussion) and Ed O'Brien (guitar, backing vocals).
Radiohead released their debut single ""Creep"" in 1992. The song was initially unsuccessful, but it became a worldwide hit several months after the release of their debut album, Pablo Honey (1993). Radiohead's popularity rose in the United Kingdom with the release of their second album, The Bends (1995). Radiohead's third album, OK Computer (1997), propelled them to greater international fame. Featuring an expansive sound and themes of modern alienation, OK Computer is often acclaimed as one of the landmark records of the 1990s.
Kid A (2000) and Amnesiac (2001) marked an evolution in Radiohead's musical style, as the group incorporated experimental electronic music, krautrock and jazz influences. Kid A, though somewhat polarizing at the time of its release, is now frequently recognized as one of the most important albums of the 2000s. Hail to the Thief (2003), a mix of piano and guitar driven rock, electronics and lyrics inspired by war, was the band's final album for their major record label, EMI. Radiohead self-released their seventh album, In Rainbows (2007), as a digital download for which customers could set their own price, and later in physical form to critical and chart success. Radiohead's eighth album, The King of Limbs (2011), was an exploration of rhythm and quieter textures, which the band released independently.
Radiohead have sold more than 30 million albums worldwide, with the band's work being placed highly in both listener polls and critics' lists, they have the distinction of doing so in both the 1990s and 2000s. In 2005, Radiohead were ranked number 73 in Rolling Stone's list of ""The Greatest Artists of All Time"", while Jonny Greenwood and Ed O'Brien were both included in Rolling Stone's list of greatest guitarists, and Thom Yorke in their list of greatest singers. In 2009, Rolling Stone readers voted the group the second best artist of the 2000s."
Indie,Rock/Pop,"Las Vegas, Nevada, USA",Quirky,"The Killers are an American rock band that was formed in 2001, by Brandon Flowers (lead vocals, keyboards) and Dave Keuning (guitar, backing vocals). Mark Stoermer (bass, backing vocals) and Ronnie Vannucci Jr. (drums, percussion) would complete the current line-up of the band in 2002. The name The Killers is derived from a logo on the bass drum of a fictitious band portrayed in the music video for the New Order song ""Crystal"".
The group has released three studio albums, Hot Fuss (2004), Sam's Town (2006) and Day & Age (2008) with a fourth entitled Battle Born, scheduled for release on September 18, 2012. They have also released one compilation album, Sawdust (2007) and one live album and DVD titled Live from the Royal Albert Hall (2009). To date, the band has sold over 6 million albums in the United States, over 5 million albums in the United Kingdom, and over 15 million worldwide."
Alternative Rock,Rock/Pop,"Seattle, USA",Energetic,"Foo Fighters are an American rock band formed in 1994 in Seattle, Washington. The band was founded by former Nirvana drummer Dave Grohl as a one-man project following the dissolution of Nirvana after the suicide of Kurt Cobain. The group took its name from foo fighter, a nickname coined by Allied aircraft pilots for UFOs and other aerial phenomena. Over the course of their career, Foo Fighters have won 12 Grammy Awards, including Best Rock Album four times. They were inducted into the Rock and Roll Hall of Fame in 2021, their first year of eligibility.

Prior to the release of Foo Fighters' 1995 debut album Foo Fighters, which featured Grohl as the only official member, Grohl recruited bassist Nate Mendel and drummer William Goldsmith, both formerly of Sunny Day Real Estate, as well as Nirvana touring guitarist Pat Smear. The band began with performances in Portland, Oregon. Goldsmith quit during the recording of their second album The Colour and the Shape (1997); most of the drum parts were re-recorded by Grohl. Smear departed soon afterward but appeared as a guest with the band frequently from 2005; he rejoined in 2010.

Smear and Goldsmith were replaced by Franz Stahl and Taylor Hawkins; Stahl was fired before the recording of the group's third album, There Is Nothing Left to Lose (1999). The band briefly continued as a trio until Chris Shiflett joined on guitar after the completion of There Is Nothing Left to Lose. Foo Fighters released their fourth album, One by One, in 2002. It was followed with the two-disc In Your Honor (2005), which was split between acoustic songs and heavier material. Foo Fighters released their sixth album, Echoes, Silence, Patience & Grace, in 2007.

For Foo Fighters' seventh studio album, Wasting Light (2011), produced by Butch Vig, Smear returned as a full member. Sonic Highways (2014) was released as the soundtrack to the television miniseries directed by Grohl. Concrete and Gold (2017) was the second Foo Fighters album to reach number one in the United States and their first studio album to feature longtime session and touring keyboardist Rami Jaffee as a full member. The band's tenth album, Medicine at Midnight (2021), was the last to feature Hawkins, who died in March 2022."
Rock,Rock/Pop,"Washington, USA",Sad,"Nirvana was an American rock band that was formed by singer and guitarist Kurt Cobain and bassist Krist Novoselic in Aberdeen, Washington, in 1987. Nirvana went through a succession of drummers, the longest-lasting being Dave Grohl, who joined the band in 1990. Despite releasing only three full-length studio albums in their seven-year career, Nirvana has come to be regarded as one of the most influential and important rock bands of the modern era.
In the late 1980s Nirvana established itself as part of the Seattle grunge scene, releasing its first album Bleach for the independent record label Sub Pop in 1989. The band eventually came to develop a sound that relied on dynamic contrasts, often between quiet verses and loud, heavy choruses. After signing to major label DGC Records, Nirvana found unexpected success with ""Smells Like Teen Spirit"", the first single from the band's second album Nevermind (1991). Nirvana's sudden success widely popularized alternative rock as a whole, and the band's frontman Cobain found himself referred to in the media as the ""spokesman of a generation"", with Nirvana being considered the ""flagship band"" of Generation X. In response, Nirvana's third studio album, In Utero (1993), featured an abrasive, less-mainstream sound and challenged the group's audience. The album did not match the sales figures of Nevermind, but was still a commercial success and critically acclaimed.
Nirvana's brief run ended following the death of Kurt Cobain in 1994, but various posthumous releases have been issued since, overseen by Novoselic, Grohl, and Cobain's widow Courtney Love. Since its debut, the band has sold over 25 million records in the United States alone, and over 75 million records worldwide, making them one of the best-selling bands of all time. Nirvana was inducted into the Rock and Roll Hall of Fame in 2014, in its first year of eligibility."
Pop,Rock/Pop,"New York, USA",Happy,"William Martin ""Billy"" Joel (born May 9, 1949, New York, USA) is an American pianist, singer-songwriter, and composer. Since releasing his first hit song, ""Piano Man"", in 1973, Joel has become the sixth-best-selling recording artist and the third-best-selling solo artist in the United States, according to the RIAA. His compilation album Greatest Hits Vol. 1 & 2 is the third-best-selling album in the United States by discs shipped.
Joel had Top 40 hits in the 1970s, 1980s, and 1990s, achieving 33 Top 40 hits in the United States, all of which he wrote himself. He is also a six-time Grammy Award winner, a 23-time Grammy nominee and one of the world's best-selling artists of all time, having sold over 150 million records worldwide. He was inducted into the Songwriter's Hall of Fame (1992), the Rock and Roll Hall of Fame (1999), and the Long Island Music Hall of Fame (2006). In 2008, Billboard magazine released a list of the Hot 100 All-Time Top Artists to celebrate the US singles chart's 50th anniversary, with Billy Joel positioned at No. 23. With the exception of the 2007 songs ""All My Life"" and ""Christmas in Fallujah"", Joel stopped writing and recording popular music after 1993's River of Dreams, but he continued to tour extensively until 2010. Joel was born in the Bronx, May 9, 1949 and raised in Hicksville, New York in a Levitt home. His father, Howard (born Helmuth), was born in Germany, the son of German merchant and manufacturer Karl Amson Joel, who, after the advent of the Nazi regime, emigrated to Switzerland and later to the United States. Billy Joel's mother, Rosalind Nyman, was born in England to Philip and Rebecca Nyman. Both of Joel's parents were Jewish. They divorced in 1960, and his father moved to Vienna, Austria. Billy has a sister, Judith Joel, and a half-brother, Alexander Joel, who is an acclaimed classical conductor in Europe and currently chief musical director of the Staatstheater Braunschweig.
Joel's father was an accomplished classical pianist. Billy reluctantly began piano lessons at an early age, at his mother's insistence; his teachers included the noted American pianist Morton Estrin and musician/songwriter Timothy Ford. His interest in music, rather than sports, was a source of teasing and bullying in his early years. (He has said in interviews that his piano instructor also taught ballet. Her name was Frances Neiman, and she was a Juilliard trained musician. She gave both classical piano and ballet lessons in the studio attached to the rear of her house, leading neighborhood bullies to mistakenly assume that he was learning to dance.) As a teenager, Joel took up boxing so that he would be able to defend himself. He boxed successfully on the amateur Golden Gloves circuit for a short time, winning twenty-two bouts, but abandoned the sport shortly after breaking his nose in his twenty-fourth boxing match.
Joel attended Hicksville High School in 1967, but he did not graduate with his class. He had been helping his single mother make ends meet by playing at a piano bar, which interfered with his school attendance. At the end of his senior year, Joel did not have enough credits to graduate. Rather than attend summer school to earn his diploma, however, Joel decided to immediately begin a career in music. Joel recounted, ""I told them, 'To hell with it. If I'm not going to Columbia University, I'm going to Columbia Records, and you don't need a high school diploma over there'."" Columbia did, in fact, become the label that eventually signed him. In 1992, he submitted essays to the school board and was awarded his diploma at Hicksville High's annual graduation ceremony, 25 years after he had left."
Rock,Rock/Pop,"Arkansas, USA",Troubled,"Evanescence is an American rock band founded in Little Rock, Arkansas in 1995 by singer/pianist Amy Lee and guitarist Ben Moody. After recording private albums, the band released their first full-length album, Fallen, on Wind-up Records in 2003. Fallen sold more than 15 million copies  worldwide and helped the band win two Grammy Awards and seven nominations, in addition, Fallen is #6 at the ""Top Bestselling albums of the last 10 Years"". A year later, Evanescence released their first live album, Anywhere but Home, which sold more than one million copies worldwide. In 2006, the band released their second studio album, The Open Door, which sold more than five million copies.

The line-up of the group has changed several times: David Hodges leaving in 2002, co-founder Moody left in 2003 (mid-tour), bassist Will Boyd in 2006, followed by guitarist John LeCompt and drummer Rocky Gray in 2007. The last two changes led to a hiatus, with temporary band members contributing to tour performances. Billboard ranked Evanescence #71 on the Best Artists of the Decade chart.

Announced in June 2009, the newest line-up of the band eventually returned with Evanescence, their self-titled third studio album, released on October 11, 2011. It debuted at #1 on the Billboard 200 chart with 127,000 copies in sales. According to Examiner.com, the album also debuted at #1 on four other different Billboard charts; the Rock Albums, Digital Albums, Alternative Albums, and the Hard Rock Albums charts. The first single, ""What You Want"", was released on August 9, 2011. The second single, ""My Heart Is Broken"", was sent to radio stations in October 31, 2011. The band is currently on tour in promotion of their new album with other bands including The Pretty Reckless and Fair to Midland.

Evanescence was founded by singer, pianist and songwriter Amy Lee and former lead guitarist and songwriter Ben Moody. The two met in 1994 at a youth camp in Little Rock, where Moody heard Lee playing ""I'd Do Anything for Love (But I Won't Do That)"" by Meat Loaf on the piano. Their first songs together were ""Solitude"" and ""Give Unto Me"", both written by Lee, and ""Understanding"" and ""My Immortal"", both written by Moody. The songs were edited by both artists, and they shared equal credit.

Two of Lee and Moody's songs were played on local radio stations, raising local awareness of the group and demand for a concert. The band eventually appeared live, and became one of the most popular acts in the area. After experimenting with band names, such as Childish Intentions and Stricken, they decided on Evanescence, which means ""disappearance"" or ""fading away"" (from the word evanesce, which means ""to disappear"").

The band released two EPs. The first is the self-titled Evanescence EP (1998), of which about 100 copies were made and distributed at the band's early live performances. The second is the Sound Asleep EP, also known as the Whisper EP (1999). There was also a third EP called Mystary EP. For their first full-length demo CD, Origin, about 2,500 copies were produced and sold to concert audiences. Origin and the EPs contain demo versions of some of the songs on their debut album, Fallen. During a radio interview, Lee and Moody encouraged fans to download the band's older songs from the Internet."
Alternative Rock,Rock/Pop,"Los Angeles, California, USA",Moody,"Red Hot Chili Peppers, also sometimes shortened to ""The Chili Peppers"" or abbreviated as ""RHCP"", are an American rock band formed in Los Angeles in 1983. The group's musical style primarily consists of rock with an emphasis on funk, as well as elements from other genres such as punk rock and psychedelic rock. When played live, their music incorporates elements of jam band due to the improvised nature of much of their performances. Currently, the band consists of founding members Anthony Kiedis (vocals), Flea (bass), longtime drummer Chad Smith; and guitarist Josh Klinghoffer, who joined in late-2009, replacing John Frusciante. Red Hot Chili Peppers have won seven Grammy Awards and have become one of the best-selling bands of all time, selling over 80 million records worldwide. In 2012, they were inducted into the Rock and Roll Hall of Fame.
The band's original line-up featured guitarist Hillel Slovak and drummer Jack Irons, alongside Kiedis and Flea. Because of commitments to other bands, Slovak and Irons did not play on the band's self-titled debut album (1984). Cliff Martinez was the drummer for the first two records (Irons played on the third), and guitarist Jack Sherman played on the first. Slovak performed on the second and third albums by the band Freaky Styley (1985) and The Uplift Mofo Party Plan (1987), but he died from a heroin overdose in 1988. As a result of his friend's death, Irons chose to depart from the group as drummer. Parliament-Funkadelic guitarist DeWayne McKnight was brought in to replace Slovak, though his tenure was short, which forced Frusciante to replace him in 1988. Former Dead Kennedys drummer D.H. Peligro was brought in to replace Irons. His tenure was also short, so he was replaced by Chad Smith that same year. The line-up of Flea, Kiedis, Frusciante, and Smith was the longest-lasting and recorded five studio albums beginning with Mother's Milk (1989). In 1990, the group signed with Warner Bros. Records and recorded the album Blood Sugar Sex Magik (1991) under producer Rick Rubin. This album became the band's first commercial success. Frusciante grew uncomfortable with the success of the band and left abruptly in 1992, in the middle of the Blood Sugar Sex Magik Tour.
After two temporary guitarists, Dave Navarro of Jane's Addiction joined for the group's subsequent album, One Hot Minute (1995). Although commercially successful, the album failed to match the critical or popular acclaim of Blood Sugar Sex Magik, selling less than half as much as its predecessor. Navarro was fired from the band in 1998. Frusciante, fresh out of drug rehabilitation, rejoined the band that same year at Flea's request. The reunited quartet returned to the studio to record Californication (1999), which became the band's biggest commercial success with 16 million copies worldwide. That album was followed three years later by By the Way (2002), and then four years later by the double album Stadium Arcadium (2006), their first number-one album in America. After a world tour, the group went on an extended hiatus. Frusciante announced he was amicably leaving the band in 2009 to focus on his solo career. Klinghoffer who had worked both as a sideman for the band on their Stadium Arcadium tour and on Frusciante's solo projects, replaced him as lead guitarist. The band's tenth studio album, I'm with You, was released in 2011 and topped the charts in 18 different countries. The group toured into 2014 and performed with Bruno Mars as a part of the halftime performance at Super Bowl XLVIII. The band is currently recording their eleventh studio album, expected to be released in 2016."
Alternative Rock,Rock/Pop,"California, USA",Angry,"Linkin Park is an American rock band from Agoura Hills, California. Formed in 1996, the band rose to international fame with their debut album, Hybrid Theory, which was certified Diamond by the RIAA in 2005 and multi-platinum in several other countries. Its following studio album, Meteora, continued the band's success, topping the Billboard 200 album chart in 2003, and was followed by extensive touring and charity work around the world. In 2003, MTV2 named Linkin Park the sixth-greatest band of the music video era and the third-best of the new millennium behind Oasis and Coldplay. Billboard ranked Linkin Park No. 19 on the Best Artists of the Decade chart.
Having adapted the nu metal and rap metal genres to a radio-friendly yet densely layered style in Hybrid Theory and Meteora, the band explored other genres in their next studio album, Minutes to Midnight, which was released in 2007. The album topped the Billboard charts and had the third-best debut week of any album that year. The band has collaborated with several other artists, most notably with rapper Jay-Z in their mashup EP Collision Course, and many others included on Reanimation. The band's most recent work, Living Things, was released on June 26, 2012. Linkin Park has sold over 50 million albums worldwide and has won two Grammy Awards.
The founding of Linkin Park began with three high school friends; Mike Shinoda, Rob Bourdon, and Brad Delson. After graduating from high school, the three began to take their musical interests more seriously, recruiting Joe Hahn, Dave ""Phoenix"" Farrell, and Mark Wakefield to perform in their band, Xero. Though limited in resources, the band began recording and producing songs within Shinoda’s makeshift bedroom studio in 1996. Tensions and frustration within the band grew after they failed to land a record deal. The lack of success and stalemate in progress prompted Wakefield, at that time the band's vocalist, to leave the band in search of other projects. Farrell also left to tour with Tasty Snax and other bands.
After spending a considerable time searching for Wakefield's replacement, Xero recruited Arizona vocalist, Chester Bennington, who was recommended by Jeff Blue, the vice president of Zomba Music in March 1999. Bennington, formerly of a post-grunge band by the name of Grey Daze, became a standout among applicants because of the dynamic in his singing style. The band then agreed on changing its name from Xero to Hybrid Theory. The newborn vocal chemistry between Shinoda and Bennington helped revive the band, inciting them to work on new material. The band’s renaissance culminated with a change in name; from Hybrid Theory, the band once again changed its name, this time to Linkin Park, a play on and homage to Santa Monica’s Lincoln Park. However, despite these changes, the band still struggled to sign a record deal. After facing numerous rejections from several major record labels, Linkin Park turned to Jeff Blue for additional help. After failing to catch Warner Bros. Records on three previous reviews, Jeff Blue, now the vice president of Warner Bros. Records, helped the band sign a deal with the company in 1999. The band released its breakthrough album, Hybrid Theory, the following year."
Rock,Rock/Pop,"Norwood, Ontario, Canada",,"Three Days Grace is a Canadian rock band formed in Norwood, Ontario in 1992 originally as Groundswell. Groundswell played in various local Norwood backyard parties and area establishments before disbanding in 1995 and regrouping in 1997 under its current name.

Based in Toronto, the band's original line-up consisted of guitarist and lead vocalist Adam Gontier, drummer and backing vocalist Neil Sanderson, and bassist Brad Walst. In 2003, Barry Stock was recruited as the band's lead guitarist, making them a quartet. In 2013, Gontier left the band and was replaced by My Darkest Days' vocalist Matt Walst, the younger brother of Brad Walst."
Psychedelic Rock,Rock/Pop,"Perth, Australia",Gritty,"Tame Impala is a band from Perth, Australia. It is the psychedelic rock project of Kevin Parker. They are signed to Modular Records. The band came to prominence in 2010 with the release of their debut album Innerspeaker. Their name refers to the impala, a medium sized antelope. They like to see themselves as ""a steady flowing psychedelic groove rock band that emphasizes dream-like melody.""
The origins of the band can be found in the Perth music scene. Parker played in a number of bands, one being the Dee Dee Dums, a rock duo that consisted of Parker (guitar) and Luke Epstein (drums). Tame Impala emerged as a Kevin Parker home-recording project in this period and he posted a number of tracks on Myspace. This brought interest from a number of labels and eventually, he signed a worldwide deal with the independent Modular Recordings. To transfer these recordings to a live-stage, Parker enlisted the help of Dominic Simper (bass) and Jay Watson (drums) and began playing at some local gigs."
